state,hhs_region,year_2010
Alabama,hhs4,4785448
Alaska,hhs10,713906
Arizona,hhs9,6407774
Arkansas,hhs6,2921978
California,hhs9,37320903
Colorado,hhs8,5048281
Connecticut,hhs1,3579125
Delaware,hhs3,899595
District_of_Columbia,hhs3,605085
Florida,hhs4,18845785
Georgia,hhs4,9711810
Hawaii,hhs9,1363963
Idaho,hhs10,1570773
Illinois,hhs5,12840762
Indiana,hhs5,6490436
Iowa,hhs7,3050767
Kansas,hhs7,2858213
Kentucky,hhs4,4348200
Louisiana,hhs6,4544532
Maine,hhs1,1327632
Maryland,hhs3,5788642
Massachusetts,hhs1,6566431
Michigan,hhs5,9877535
Minnesota,hhs5,5310843
Mississippi,hhs4,2970536
Missouri,hhs7,5995976
Montana,hhs8,990722
Nebraska,hhs7,1829536
Nevada,hhs9,2702464
New_Hampshire,hhs1,1316777
New_Jersey,hhs2,8799624
New_Mexico,hhs6,2064588
New_York,hhs2,11206377
North_Carolina,hhs4,9574293
North_Dakota,hhs8,674710
Ohio,hhs5,11539327
Oklahoma,hhs6,3759632
Oregon,hhs10,3837532
Pennsylvania,hhs3,12711158
Rhode_Island,hhs1,1053938
South_Carolina,hhs4,4635656
South_Dakota,hhs8,816165
Tennessee,hhs4,6355301
Texas,hhs6,25242679
Utah,hhs8,2775334
Vermont,hhs1,625880
Virginia,hhs3,8023680
Washington,hhs10,6742902
West_Virginia,hhs3,1854214
Wisconsin,hhs5,5690479
Wyoming,hhs8,564483
Puerto_Rico,hhs2,3721525
Virgin_Islands,hhs2,105000
New_York_City,hhs2,8193703